,source,target,film,year,studio
0,John Lasseter,Pete Docter,ToyStory,1995,pixar
1,John Lasseter,Andrew Stanton,ToyStory,1995,pixar
2,John Lasseter,Joe Ranft,ToyStory,1995,pixar
3,John Lasseter,Joss Whedon,ToyStory,1995,pixar
4,John Lasseter,Joel Cohen,ToyStory,1995,pixar
5,John Lasseter,Alec Sokolow,ToyStory,1995,pixar
6,John Lasseter,Bonnie Arnold,ToyStory,1995,pixar
7,John Lasseter,Ed Catmull,ToyStory,1995,pixar
8,John Lasseter,Ralph Guggenheim,ToyStory,1995,pixar
9,John Lasseter,Steve Jobs,ToyStory,1995,pixar
10,Pete Docter,Andrew Stanton,ToyStory,1995,pixar
11,Pete Docter,Joe Ranft,ToyStory,1995,pixar
12,Pete Docter,Joss Whedon,ToyStory,1995,pixar
13,Pete Docter,Joel Cohen,ToyStory,1995,pixar
14,Pete Docter,Alec Sokolow,ToyStory,1995,pixar
15,Pete Docter,Bonnie Arnold,ToyStory,1995,pixar
16,Pete Docter,Ed Catmull,ToyStory,1995,pixar
17,Pete Docter,Ralph Guggenheim,ToyStory,1995,pixar
18,Pete Docter,Steve Jobs,ToyStory,1995,pixar
19,Andrew Stanton,Joe Ranft,ToyStory,1995,pixar
20,Andrew Stanton,Joss Whedon,ToyStory,1995,pixar
21,Andrew Stanton,Joel Cohen,ToyStory,1995,pixar
22,Andrew Stanton,Alec Sokolow,ToyStory,1995,pixar
23,Andrew Stanton,Bonnie Arnold,ToyStory,1995,pixar
24,Andrew Stanton,Ed Catmull,ToyStory,1995,pixar
25,Andrew Stanton,Ralph Guggenheim,ToyStory,1995,pixar
26,Andrew Stanton,Steve Jobs,ToyStory,1995,pixar
27,Joe Ranft,Joss Whedon,ToyStory,1995,pixar
28,Joe Ranft,Joel Cohen,ToyStory,1995,pixar
29,Joe Ranft,Alec Sokolow,ToyStory,1995,pixar
30,Joe Ranft,Bonnie Arnold,ToyStory,1995,pixar
31,Joe Ranft,Ed Catmull,ToyStory,1995,pixar
32,Joe Ranft,Ralph Guggenheim,ToyStory,1995,pixar
33,Joe Ranft,Steve Jobs,ToyStory,1995,pixar
34,Joss Whedon,Joel Cohen,ToyStory,1995,pixar
35,Joss Whedon,Alec Sokolow,ToyStory,1995,pixar
36,Joss Whedon,Bonnie Arnold,ToyStory,1995,pixar
37,Joss Whedon,Ed Catmull,ToyStory,1995,pixar
38,Joss Whedon,Ralph Guggenheim,ToyStory,1995,pixar
39,Joss Whedon,Steve Jobs,ToyStory,1995,pixar
40,Joel Cohen,Alec Sokolow,ToyStory,1995,pixar
41,Joel Cohen,Bonnie Arnold,ToyStory,1995,pixar
42,Joel Cohen,Ed Catmull,ToyStory,1995,pixar
43,Joel Cohen,Ralph Guggenheim,ToyStory,1995,pixar
44,Joel Cohen,Steve Jobs,ToyStory,1995,pixar
45,Alec Sokolow,Bonnie Arnold,ToyStory,1995,pixar
46,Alec Sokolow,Ed Catmull,ToyStory,1995,pixar
47,Alec Sokolow,Ralph Guggenheim,ToyStory,1995,pixar
48,Alec Sokolow,Steve Jobs,ToyStory,1995,pixar
49,Bonnie Arnold,Ed Catmull,ToyStory,1995,pixar
50,Bonnie Arnold,Ralph Guggenheim,ToyStory,1995,pixar
51,Bonnie Arnold,Steve Jobs,ToyStory,1995,pixar
52,Ed Catmull,Ralph Guggenheim,ToyStory,1995,pixar
53,Ed Catmull,Steve Jobs,ToyStory,1995,pixar
54,Ralph Guggenheim,Steve Jobs,ToyStory,1995,pixar
0,John Lasseter,Andrew Stanton,BugsLife,1998,pixar
1,John Lasseter,Joe Ranft,BugsLife,1998,pixar
2,John Lasseter,Don McEnery,BugsLife,1998,pixar
3,John Lasseter,Bob Shaw,BugsLife,1998,pixar
4,John Lasseter,Darla K. Anderson,BugsLife,1998,pixar
5,John Lasseter,Kevin Reher,BugsLife,1998,pixar
6,Andrew Stanton,Joe Ranft,BugsLife,1998,pixar
7,Andrew Stanton,Don McEnery,BugsLife,1998,pixar
8,Andrew Stanton,Bob Shaw,BugsLife,1998,pixar
9,Andrew Stanton,Darla K. Anderson,BugsLife,1998,pixar
10,Andrew Stanton,Kevin Reher,BugsLife,1998,pixar
11,Joe Ranft,Don McEnery,BugsLife,1998,pixar
12,Joe Ranft,Bob Shaw,BugsLife,1998,pixar
