,0,studio
"('BlackCauldron', 12)",Rosemary Anne Sisson,Disney
"('BlackCauldron', 13)",Roy Edward Disney,Disney
"('BlackCauldron', 14)",Tony Marino,Disney
"('BlackCauldron', 18)",John Musker,Disney
"('BlackCauldron', 19)",Ron Clements,Disney
"('BlackCauldron', 20)",Doug Lefler,Disney
"('MouseDetective', 9)",Bruce Morris,Disney
"('MouseDetective', 10)",Matthew O'Callaghan,Disney
"('MouseDetective', 14)",Eve Titus,Disney
"('MouseDetective', 15)",Paul Galdone,Disney
"('MouseDetective', 16)",Arthur Conan Doyle,Disney
"('Oliver', 0)",George Scribner,Disney
"('Oliver', 1)",Jim Cox,Disney
"('Oliver', 2)",Tim Disney,Disney
"('Oliver', 3)",James Mangold,Disney
"('Oliver', 5)",Mike Gabriel,Disney
"('Oliver', 6)",Joe Ranft,Disney
"('Oliver', 7)",Jim Mitchell,Disney
"('Oliver', 8)",Chris Bailey,Disney
"('Oliver', 9)",Kirk Wise,Disney
"('Oliver', 11)",Roger Allers,Disney
"('Oliver', 12)",Gary Trousdale,Disney
"('Oliver', 13)",Kevin Lima,Disney
"('Oliver', 14)",Michael Cedeno,Disney
"('Oliver', 16)",Leon Joosen,Disney
"('Oliver', 17)",Charles Dickens,Disney
"('Oliver', 18)",Gerrit Graham,Disney
"('Oliver', 19)",Sam Graham,Disney
"('Oliver', 20)",Chris Hubbell,Disney
"('Oliver', 22)",Danny Mann,Disney
"('Oliver', 23)",Bill Berg,Disney
"('LittleMermaid', 4)",Hans Christian Andersen,Disney
"('LittleMermaid', 5)",Howard Ashman,Disney
"('LittleMermaid', 10)",Maureen Donley,Disney
"('RescueDown', 0)",Hendel Butoy,Disney
"('RescueDown', 3)",Karey Kirkpatrick,Disney
"('RescueDown', 4)",Byron Simpson,Disney
"('RescueDown', 8)",Kathleen Gavin,Disney
"('RescueDown', 9)",Thomas Schumacher,Disney
"('BeautyBeast', 2)",Linda Woolverton,Disney
"('BeautyBeast', 3)",Brenda Chapman,Disney
"('BeautyBeast', 4)",Chris Sanders,Disney
"('BeautyBeast', 6)",Kevin Harkey,Disney
"('BeautyBeast', 7)",Brian Pimental,Disney
"('BeautyBeast', 8)",Bruce Woodside,Disney
"('BeautyBeast', 10)",Tom Ellery,Disney
"('BeautyBeast', 11)",Kelly Asbury,Disney
"('BeautyBeast', 12)",Robert Lence,Disney
"('BeautyBeast', 13)",Jeanne-Marie Leprince de Beaumont,Disney
"('BeautyBeast', 14)",Gabrielle-Suzanne Barbot de Villeneuve,Disney
"('BeautyBeast', 16)",Don Hahn,Disney
"('BeautyBeast', 17)",John Lasseter,Disney
"('BeautyBeast', 18)",Sarah McArthur,Disney
"('Aladdin', 4)",Ted Elliott,Disney
"('Aladdin', 5)",Terry Rossio,Disney
"('Aladdin', 8)",Daan Jippes,Disney
"('Aladdin', 10)",Sue C. Nichols,Disney
"('Aladdin', 11)",Francis Glebas,Disney
"('Aladdin', 12)",Darrell Rooney,Disney
"('Aladdin', 13)",Larry Leker,Disney
"('Aladdin', 14)",James Fujii,Disney
"('Aladdin', 15)",Kirk Hanson,Disney
"('Aladdin', 17)",Rebecca Rees,Disney
"('Aladdin', 18)",David S. Smith,Disney
"('Aladdin', 21)",Patrick A. Ventura,Disney
"('Aladdin', 23)",Donald W. Ernst,Disney
"('Aladdin', 25)",Amy Pell,Disney
"('LionKing', 1)",Rob Minkoff,Disney
"('LionKing', 2)",Irene Mecchi,Disney
"('LionKing', 3)",Jonathan Roberts,Disney
"('LionKing', 6)",Barry Johnson,Disney
"('LionKing', 7)",Lorna Cook,Disney
"('LionKing', 8)",Thom Enriquez,Disney
"('LionKing', 9)",Andy Gaskill,Disney
"('LionKing', 11)",Jim Capobianco,Disney
"('LionKing', 13)",Jorgen Klubien,Disney
"('LionKing', 15)",Tom Sito,Disney
"('LionKing', 18)",Rick Maki,Disney
"('LionKing', 19)",Ed Gombert,Disney
"('LionKing', 21)",Mark Kausler,Disney
"('LionKing', 22)",J.T. Allen,Disney
