source,target,film,year,studio
John Lasseter,Pete Docter,ToyStory,1995,Pixar
John Lasseter,Andrew Stanton,ToyStory,1995,Pixar
John Lasseter,Joe Ranft,ToyStory,1995,Pixar
John Lasseter,Joss Whedon,ToyStory,1995,Pixar
John Lasseter,Joel Cohen,ToyStory,1995,Pixar
John Lasseter,Alec Sokolow,ToyStory,1995,Pixar
John Lasseter,Bonnie Arnold,ToyStory,1995,Pixar
John Lasseter,Ed Catmull,ToyStory,1995,Pixar
John Lasseter,Ralph Guggenheim,ToyStory,1995,Pixar
John Lasseter,Steve Jobs,ToyStory,1995,Pixar
Pete Docter,Andrew Stanton,ToyStory,1995,Pixar
Pete Docter,Joe Ranft,ToyStory,1995,Pixar
Pete Docter,Joss Whedon,ToyStory,1995,Pixar
Pete Docter,Joel Cohen,ToyStory,1995,Pixar
Pete Docter,Alec Sokolow,ToyStory,1995,Pixar
Pete Docter,Bonnie Arnold,ToyStory,1995,Pixar
Pete Docter,Ed Catmull,ToyStory,1995,Pixar
Pete Docter,Ralph Guggenheim,ToyStory,1995,Pixar
Pete Docter,Steve Jobs,ToyStory,1995,Pixar
Andrew Stanton,Joe Ranft,ToyStory,1995,Pixar
Andrew Stanton,Joss Whedon,ToyStory,1995,Pixar
Andrew Stanton,Joel Cohen,ToyStory,1995,Pixar
Andrew Stanton,Alec Sokolow,ToyStory,1995,Pixar
Andrew Stanton,Bonnie Arnold,ToyStory,1995,Pixar
Andrew Stanton,Ed Catmull,ToyStory,1995,Pixar
Andrew Stanton,Ralph Guggenheim,ToyStory,1995,Pixar
Andrew Stanton,Steve Jobs,ToyStory,1995,Pixar
Joe Ranft,Joss Whedon,ToyStory,1995,Pixar
Joe Ranft,Joel Cohen,ToyStory,1995,Pixar
Joe Ranft,Alec Sokolow,ToyStory,1995,Pixar
Joe Ranft,Bonnie Arnold,ToyStory,1995,Pixar
Joe Ranft,Ed Catmull,ToyStory,1995,Pixar
Joe Ranft,Ralph Guggenheim,ToyStory,1995,Pixar
Joe Ranft,Steve Jobs,ToyStory,1995,Pixar
Joss Whedon,Joel Cohen,ToyStory,1995,Pixar
Joss Whedon,Alec Sokolow,ToyStory,1995,Pixar
Joss Whedon,Bonnie Arnold,ToyStory,1995,Pixar
Joss Whedon,Ed Catmull,ToyStory,1995,Pixar
Joss Whedon,Ralph Guggenheim,ToyStory,1995,Pixar
Joss Whedon,Steve Jobs,ToyStory,1995,Pixar
Joel Cohen,Alec Sokolow,ToyStory,1995,Pixar
Joel Cohen,Bonnie Arnold,ToyStory,1995,Pixar
Joel Cohen,Ed Catmull,ToyStory,1995,Pixar
Joel Cohen,Ralph Guggenheim,ToyStory,1995,Pixar
Joel Cohen,Steve Jobs,ToyStory,1995,Pixar
Alec Sokolow,Bonnie Arnold,ToyStory,1995,Pixar
Alec Sokolow,Ed Catmull,ToyStory,1995,Pixar
Alec Sokolow,Ralph Guggenheim,ToyStory,1995,Pixar
Alec Sokolow,Steve Jobs,ToyStory,1995,Pixar
Bonnie Arnold,Ed Catmull,ToyStory,1995,Pixar
Bonnie Arnold,Ralph Guggenheim,ToyStory,1995,Pixar
Bonnie Arnold,Steve Jobs,ToyStory,1995,Pixar
Ed Catmull,Ralph Guggenheim,ToyStory,1995,Pixar
Ed Catmull,Steve Jobs,ToyStory,1995,Pixar
Ralph Guggenheim,Steve Jobs,ToyStory,1995,Pixar
John Lasseter,Andrew Stanton,BugsLife,1998,Pixar
John Lasseter,Joe Ranft,BugsLife,1998,Pixar
John Lasseter,Don McEnery,BugsLife,1998,Pixar
John Lasseter,Bob Shaw,BugsLife,1998,Pixar
John Lasseter,Darla K. Anderson,BugsLife,1998,Pixar
John Lasseter,Kevin Reher,BugsLife,1998,Pixar
Andrew Stanton,Joe Ranft,BugsLife,1998,Pixar
Andrew Stanton,Don McEnery,BugsLife,1998,Pixar
Andrew Stanton,Bob Shaw,BugsLife,1998,Pixar
Andrew Stanton,Darla K. Anderson,BugsLife,1998,Pixar
Andrew Stanton,Kevin Reher,BugsLife,1998,Pixar
Joe Ranft,Don McEnery,BugsLife,1998,Pixar
Joe Ranft,Bob Shaw,BugsLife,1998,Pixar
Joe Ranft,Darla K. Anderson,BugsLife,1998,Pixar
Joe Ranft,Kevin Reher,BugsLife,1998,Pixar
Don McEnery,Bob Shaw,BugsLife,1998,Pixar
Don McEnery,Darla K. Anderson,BugsLife,1998,Pixar
Don McEnery,Kevin Reher,BugsLife,1998,Pixar
Bob Shaw,Darla K. Anderson,BugsLife,1998,Pixar
Bob Shaw,Kevin Reher,BugsLife,1998,Pixar
Darla K. Anderson,Kevin Reher,BugsLife,1998,Pixar
John Lasseter,Ash Brannon,ToyStory2,1999,Pixar
John Lasseter,Lee Unkrich,ToyStory2,1999,Pixar
John Lasseter,Pete Docter,ToyStory2,1999,Pixar
John Lasseter,Andrew Stanton,ToyStory2,1999,Pixar
John Lasseter,Rita Hsiao,ToyStory2,1999,Pixar
John Lasseter,Doug Chamberlin,ToyStory2,1999,Pixar
John Lasseter,Chris Webb,ToyStory2,1999,Pixar
John Lasseter,Karen Robert Jackson,ToyStory2,1999,Pixar
John Lasseter,Sarah McArthur,ToyStory2,1999,Pixar
John Lasseter,Helene Plotkin,ToyStory2,1999,Pixar
Ash Brannon,Lee Unkrich,ToyStory2,1999,Pixar
Ash Brannon,Pete Docter,ToyStory2,1999,Pixar
Ash Brannon,Andrew Stanton,ToyStory2,1999,Pixar
Ash Brannon,Rita Hsiao,ToyStory2,1999,Pixar
Ash Brannon,Doug Chamberlin,ToyStory2,1999,Pixar
Ash Brannon,Chris Webb,ToyStory2,1999,Pixar
Ash Brannon,Karen Robert Jackson,ToyStory2,1999,Pixar
Ash Brannon,Sarah McArthur,ToyStory2,1999,Pixar
Ash Brannon,Helene Plotkin,ToyStory2,1999,Pixar
Lee Unkrich,Pete Docter,ToyStory2,1999,Pixar
Lee Unkrich,Andrew Stanton,ToyStory2,1999,Pixar
Lee Unkrich,Rita Hsiao,ToyStory2,1999,Pixar
Lee Unkrich,Doug Chamberlin,ToyStory2,1999,Pixar
Lee Unkrich,Chris Webb,ToyStory2,1999,Pixar
Lee Unkrich,Karen Robert Jackson,ToyStory2,1999,Pixar
Lee Unkrich,Sarah McArthur,ToyStory2,1999,Pixar
Lee Unkrich,Helene Plotkin,ToyStory2,1999,Pixar
Pete Docter,Andrew Stanton,ToyStory2,1999,Pixar
Pete Docter,Rita Hsiao,ToyStory2,1999,Pixar
Pete Docter,Doug Chamberlin,ToyStory2,1999,Pixar
Pete Docter,Chris Webb,ToyStory2,1999,Pixar
Pete Docter,Karen Robert Jackson,ToyStory2,1999,Pixar
Pete Docter,Sarah McArthur,ToyStory2,1999,Pixar
Pete Docter,Helene Plotkin,ToyStory2,1999,Pixar
Andrew Stanton,Rita Hsiao,ToyStory2,1999,Pixar
Andrew Stanton,Doug Chamberlin,ToyStory2,1999,Pixar
Andrew Stanton,Chris Webb,ToyStory2,1999,Pixar
Andrew Stanton,Karen Robert Jackson,ToyStory2,1999,Pixar
Andrew Stanton,Sarah McArthur,ToyStory2,1999,Pixar
Andrew Stanton,Helene Plotkin,ToyStory2,1999,Pixar
Rita Hsiao,Doug Chamberlin,ToyStory2,1999,Pixar
Rita Hsiao,Chris Webb,ToyStory2,1999,Pixar
Rita Hsiao,Karen Robert Jackson,ToyStory2,1999,Pixar
Rita Hsiao,Sarah McArthur,ToyStory2,1999,Pixar
Rita Hsiao,Helene Plotkin,ToyStory2,1999,Pixar
Doug Chamberlin,Chris Webb,ToyStory2,1999,Pixar
Doug Chamberlin,Karen Robert Jackson,ToyStory2,1999,Pixar
Doug Chamberlin,Sarah McArthur,ToyStory2,1999,Pixar
Doug Chamberlin,Helene Plotkin,ToyStory2,1999,Pixar
Chris Webb,Karen Robert Jackson,ToyStory2,1999,Pixar
Chris Webb,Sarah McArthur,ToyStory2,1999,Pixar
Chris Webb,Helene Plotkin,ToyStory2,1999,Pixar
Karen Robert Jackson,Sarah McArthur,ToyStory2,1999,Pixar
Karen Robert Jackson,Helene Plotkin,ToyStory2,1999,Pixar
Sarah McArthur,Helene Plotkin,ToyStory2,1999,Pixar
Pete Docter,David Silverman,MonsterInc,2001,Pixar
Pete Docter,Lee Unkrich,MonsterInc,2001,Pixar
Pete Docter,Jill Culton,MonsterInc,2001,Pixar
Pete Docter,Jeff Pidgeon,MonsterInc,2001,Pixar
Pete Docter,Ralph Eggleston,MonsterInc,2001,Pixar
Pete Docter,Andrew Stanton,MonsterInc,2001,Pixar
Pete Docter,Daniel Gerson,MonsterInc,2001,Pixar
Pete Docter,Bob Peterson,MonsterInc,2001,Pixar
Pete Docter,Joe Ranft,MonsterInc,2001,Pixar
Pete Docter,Robert L. Baird,MonsterInc,2001,Pixar
Pete Docter,Rhett Reese,MonsterInc,2001,Pixar
Pete Docter,Jonathan Roberts,MonsterInc,2001,Pixar
Pete Docter,Darla K. Anderson,MonsterInc,2001,Pixar
Pete Docter,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Pete Docter,John Lasseter,MonsterInc,2001,Pixar
Pete Docter,Kori Rae,MonsterInc,2001,Pixar
David Silverman,Lee Unkrich,MonsterInc,2001,Pixar
David Silverman,Jill Culton,MonsterInc,2001,Pixar
David Silverman,Jeff Pidgeon,MonsterInc,2001,Pixar
David Silverman,Ralph Eggleston,MonsterInc,2001,Pixar
David Silverman,Andrew Stanton,MonsterInc,2001,Pixar
David Silverman,Daniel Gerson,MonsterInc,2001,Pixar
David Silverman,Bob Peterson,MonsterInc,2001,Pixar
David Silverman,Joe Ranft,MonsterInc,2001,Pixar
David Silverman,Robert L. Baird,MonsterInc,2001,Pixar
David Silverman,Rhett Reese,MonsterInc,2001,Pixar
David Silverman,Jonathan Roberts,MonsterInc,2001,Pixar
David Silverman,Darla K. Anderson,MonsterInc,2001,Pixar
David Silverman,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
David Silverman,John Lasseter,MonsterInc,2001,Pixar
David Silverman,Kori Rae,MonsterInc,2001,Pixar
Lee Unkrich,Jill Culton,MonsterInc,2001,Pixar
Lee Unkrich,Jeff Pidgeon,MonsterInc,2001,Pixar
Lee Unkrich,Ralph Eggleston,MonsterInc,2001,Pixar
Lee Unkrich,Andrew Stanton,MonsterInc,2001,Pixar
Lee Unkrich,Daniel Gerson,MonsterInc,2001,Pixar
Lee Unkrich,Bob Peterson,MonsterInc,2001,Pixar
Lee Unkrich,Joe Ranft,MonsterInc,2001,Pixar
Lee Unkrich,Robert L. Baird,MonsterInc,2001,Pixar
Lee Unkrich,Rhett Reese,MonsterInc,2001,Pixar
Lee Unkrich,Jonathan Roberts,MonsterInc,2001,Pixar
Lee Unkrich,Darla K. Anderson,MonsterInc,2001,Pixar
Lee Unkrich,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Lee Unkrich,John Lasseter,MonsterInc,2001,Pixar
Lee Unkrich,Kori Rae,MonsterInc,2001,Pixar
Jill Culton,Jeff Pidgeon,MonsterInc,2001,Pixar
Jill Culton,Ralph Eggleston,MonsterInc,2001,Pixar
Jill Culton,Andrew Stanton,MonsterInc,2001,Pixar
Jill Culton,Daniel Gerson,MonsterInc,2001,Pixar
Jill Culton,Bob Peterson,MonsterInc,2001,Pixar
Jill Culton,Joe Ranft,MonsterInc,2001,Pixar
Jill Culton,Robert L. Baird,MonsterInc,2001,Pixar
Jill Culton,Rhett Reese,MonsterInc,2001,Pixar
Jill Culton,Jonathan Roberts,MonsterInc,2001,Pixar
Jill Culton,Darla K. Anderson,MonsterInc,2001,Pixar
Jill Culton,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Jill Culton,John Lasseter,MonsterInc,2001,Pixar
Jill Culton,Kori Rae,MonsterInc,2001,Pixar
Jeff Pidgeon,Ralph Eggleston,MonsterInc,2001,Pixar
Jeff Pidgeon,Andrew Stanton,MonsterInc,2001,Pixar
Jeff Pidgeon,Daniel Gerson,MonsterInc,2001,Pixar
Jeff Pidgeon,Bob Peterson,MonsterInc,2001,Pixar
Jeff Pidgeon,Joe Ranft,MonsterInc,2001,Pixar
Jeff Pidgeon,Robert L. Baird,MonsterInc,2001,Pixar
Jeff Pidgeon,Rhett Reese,MonsterInc,2001,Pixar
Jeff Pidgeon,Jonathan Roberts,MonsterInc,2001,Pixar
Jeff Pidgeon,Darla K. Anderson,MonsterInc,2001,Pixar
Jeff Pidgeon,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Jeff Pidgeon,John Lasseter,MonsterInc,2001,Pixar
Jeff Pidgeon,Kori Rae,MonsterInc,2001,Pixar
Ralph Eggleston,Andrew Stanton,MonsterInc,2001,Pixar
Ralph Eggleston,Daniel Gerson,MonsterInc,2001,Pixar
Ralph Eggleston,Bob Peterson,MonsterInc,2001,Pixar
Ralph Eggleston,Joe Ranft,MonsterInc,2001,Pixar
Ralph Eggleston,Robert L. Baird,MonsterInc,2001,Pixar
Ralph Eggleston,Rhett Reese,MonsterInc,2001,Pixar
Ralph Eggleston,Jonathan Roberts,MonsterInc,2001,Pixar
Ralph Eggleston,Darla K. Anderson,MonsterInc,2001,Pixar
Ralph Eggleston,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Ralph Eggleston,John Lasseter,MonsterInc,2001,Pixar
Ralph Eggleston,Kori Rae,MonsterInc,2001,Pixar
Andrew Stanton,Daniel Gerson,MonsterInc,2001,Pixar
Andrew Stanton,Bob Peterson,MonsterInc,2001,Pixar
Andrew Stanton,Joe Ranft,MonsterInc,2001,Pixar
Andrew Stanton,Robert L. Baird,MonsterInc,2001,Pixar
Andrew Stanton,Rhett Reese,MonsterInc,2001,Pixar
Andrew Stanton,Jonathan Roberts,MonsterInc,2001,Pixar
Andrew Stanton,Darla K. Anderson,MonsterInc,2001,Pixar
Andrew Stanton,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Andrew Stanton,John Lasseter,MonsterInc,2001,Pixar
Andrew Stanton,Kori Rae,MonsterInc,2001,Pixar
Daniel Gerson,Bob Peterson,MonsterInc,2001,Pixar
Daniel Gerson,Joe Ranft,MonsterInc,2001,Pixar
Daniel Gerson,Robert L. Baird,MonsterInc,2001,Pixar
Daniel Gerson,Rhett Reese,MonsterInc,2001,Pixar
Daniel Gerson,Jonathan Roberts,MonsterInc,2001,Pixar
Daniel Gerson,Darla K. Anderson,MonsterInc,2001,Pixar
Daniel Gerson,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Daniel Gerson,John Lasseter,MonsterInc,2001,Pixar
Daniel Gerson,Kori Rae,MonsterInc,2001,Pixar
Bob Peterson,Joe Ranft,MonsterInc,2001,Pixar
Bob Peterson,Robert L. Baird,MonsterInc,2001,Pixar
Bob Peterson,Rhett Reese,MonsterInc,2001,Pixar
Bob Peterson,Jonathan Roberts,MonsterInc,2001,Pixar
Bob Peterson,Darla K. Anderson,MonsterInc,2001,Pixar
Bob Peterson,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Bob Peterson,John Lasseter,MonsterInc,2001,Pixar
Bob Peterson,Kori Rae,MonsterInc,2001,Pixar
Joe Ranft,Robert L. Baird,MonsterInc,2001,Pixar
Joe Ranft,Rhett Reese,MonsterInc,2001,Pixar
Joe Ranft,Jonathan Roberts,MonsterInc,2001,Pixar
Joe Ranft,Darla K. Anderson,MonsterInc,2001,Pixar
Joe Ranft,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Joe Ranft,John Lasseter,MonsterInc,2001,Pixar
Joe Ranft,Kori Rae,MonsterInc,2001,Pixar
Robert L. Baird,Rhett Reese,MonsterInc,2001,Pixar
Robert L. Baird,Jonathan Roberts,MonsterInc,2001,Pixar
Robert L. Baird,Darla K. Anderson,MonsterInc,2001,Pixar
Robert L. Baird,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Robert L. Baird,John Lasseter,MonsterInc,2001,Pixar
Robert L. Baird,Kori Rae,MonsterInc,2001,Pixar
Rhett Reese,Jonathan Roberts,MonsterInc,2001,Pixar
Rhett Reese,Darla K. Anderson,MonsterInc,2001,Pixar
Rhett Reese,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Rhett Reese,John Lasseter,MonsterInc,2001,Pixar
Rhett Reese,Kori Rae,MonsterInc,2001,Pixar
Jonathan Roberts,Darla K. Anderson,MonsterInc,2001,Pixar
Jonathan Roberts,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Jonathan Roberts,John Lasseter,MonsterInc,2001,Pixar
Jonathan Roberts,Kori Rae,MonsterInc,2001,Pixar
Darla K. Anderson,Karen Dufilho-Rosen,MonsterInc,2001,Pixar
Darla K. Anderson,John Lasseter,MonsterInc,2001,Pixar
Darla K. Anderson,Kori Rae,MonsterInc,2001,Pixar
Karen Dufilho-Rosen,John Lasseter,MonsterInc,2001,Pixar
Karen Dufilho-Rosen,Kori Rae,MonsterInc,2001,Pixar
John Lasseter,Kori Rae,MonsterInc,2001,Pixar
Andrew Stanton,Lee Unkrich,FindNemo,2003,Pixar
Andrew Stanton,Bob Peterson,FindNemo,2003,Pixar
Andrew Stanton,David Reynolds,FindNemo,2003,Pixar
Andrew Stanton,Jinko Gotoh,FindNemo,2003,Pixar
Andrew Stanton,John Lasseter,FindNemo,2003,Pixar
Andrew Stanton,Bradford Lewis,FindNemo,2003,Pixar
Andrew Stanton,Graham Walters,FindNemo,2003,Pixar
Lee Unkrich,Bob Peterson,FindNemo,2003,Pixar
Lee Unkrich,David Reynolds,FindNemo,2003,Pixar
Lee Unkrich,Jinko Gotoh,FindNemo,2003,Pixar
Lee Unkrich,John Lasseter,FindNemo,2003,Pixar
Lee Unkrich,Bradford Lewis,FindNemo,2003,Pixar
Lee Unkrich,Graham Walters,FindNemo,2003,Pixar
Bob Peterson,David Reynolds,FindNemo,2003,Pixar
Bob Peterson,Jinko Gotoh,FindNemo,2003,Pixar
Bob Peterson,John Lasseter,FindNemo,2003,Pixar
Bob Peterson,Bradford Lewis,FindNemo,2003,Pixar
Bob Peterson,Graham Walters,FindNemo,2003,Pixar
David Reynolds,Jinko Gotoh,FindNemo,2003,Pixar
David Reynolds,John Lasseter,FindNemo,2003,Pixar
David Reynolds,Bradford Lewis,FindNemo,2003,Pixar
David Reynolds,Graham Walters,FindNemo,2003,Pixar
Jinko Gotoh,John Lasseter,FindNemo,2003,Pixar
Jinko Gotoh,Bradford Lewis,FindNemo,2003,Pixar
Jinko Gotoh,Graham Walters,FindNemo,2003,Pixar
John Lasseter,Bradford Lewis,FindNemo,2003,Pixar
John Lasseter,Graham Walters,FindNemo,2003,Pixar
Bradford Lewis,Graham Walters,FindNemo,2003,Pixar
Brad Bird,John Lasseter,Incred,2004,Pixar
Brad Bird,Kori Rae,Incred,2004,Pixar
Brad Bird,Katherine Sarafian,Incred,2004,Pixar
Brad Bird,John Walker,Incred,2004,Pixar
John Lasseter,Kori Rae,Incred,2004,Pixar
John Lasseter,Katherine Sarafian,Incred,2004,Pixar
John Lasseter,John Walker,Incred,2004,Pixar
Kori Rae,Katherine Sarafian,Incred,2004,Pixar
Kori Rae,John Walker,Incred,2004,Pixar
Katherine Sarafian,John Walker,Incred,2004,Pixar
John Lasseter,Joe Ranft,Cars,2006,Pixar
John Lasseter,Jorgen Klubien,Cars,2006,Pixar
John Lasseter,Dan Fogelman,Cars,2006,Pixar
John Lasseter,Kiel Murray,Cars,2006,Pixar
John Lasseter,Phil Lorin,Cars,2006,Pixar
John Lasseter,Steve Purcell,Cars,2006,Pixar
John Lasseter,Darla K. Anderson,Cars,2006,Pixar
John Lasseter,Thomas Porter,Cars,2006,Pixar
Joe Ranft,Jorgen Klubien,Cars,2006,Pixar
Joe Ranft,Dan Fogelman,Cars,2006,Pixar
Joe Ranft,Kiel Murray,Cars,2006,Pixar
Joe Ranft,Phil Lorin,Cars,2006,Pixar
Joe Ranft,Steve Purcell,Cars,2006,Pixar
Joe Ranft,Darla K. Anderson,Cars,2006,Pixar
Joe Ranft,Thomas Porter,Cars,2006,Pixar
Jorgen Klubien,Dan Fogelman,Cars,2006,Pixar
Jorgen Klubien,Kiel Murray,Cars,2006,Pixar
Jorgen Klubien,Phil Lorin,Cars,2006,Pixar
Jorgen Klubien,Steve Purcell,Cars,2006,Pixar
Jorgen Klubien,Darla K. Anderson,Cars,2006,Pixar
Jorgen Klubien,Thomas Porter,Cars,2006,Pixar
Dan Fogelman,Kiel Murray,Cars,2006,Pixar
Dan Fogelman,Phil Lorin,Cars,2006,Pixar
Dan Fogelman,Steve Purcell,Cars,2006,Pixar
Dan Fogelman,Darla K. Anderson,Cars,2006,Pixar
Dan Fogelman,Thomas Porter,Cars,2006,Pixar
Kiel Murray,Phil Lorin,Cars,2006,Pixar
Kiel Murray,Steve Purcell,Cars,2006,Pixar
Kiel Murray,Darla K. Anderson,Cars,2006,Pixar
Kiel Murray,Thomas Porter,Cars,2006,Pixar
Phil Lorin,Steve Purcell,Cars,2006,Pixar
Phil Lorin,Darla K. Anderson,Cars,2006,Pixar
Phil Lorin,Thomas Porter,Cars,2006,Pixar
Steve Purcell,Darla K. Anderson,Cars,2006,Pixar
Steve Purcell,Thomas Porter,Cars,2006,Pixar
Darla K. Anderson,Thomas Porter,Cars,2006,Pixar
Brad Bird,Jan Pinkava,Ratat,2007,Pixar
Brad Bird,Jim Capobianco,Ratat,2007,Pixar
Brad Bird,Emily Cook,Ratat,2007,Pixar
Brad Bird,Kathy Greenberg,Ratat,2007,Pixar
Brad Bird,Bob Peterson,Ratat,2007,Pixar
Brad Bird,John Lasseter,Ratat,2007,Pixar
Brad Bird,Bradford Lewis,Ratat,2007,Pixar
Brad Bird,Andrew Stanton,Ratat,2007,Pixar
Brad Bird,Galyn Susman,Ratat,2007,Pixar
Jan Pinkava,Jim Capobianco,Ratat,2007,Pixar
Jan Pinkava,Emily Cook,Ratat,2007,Pixar
Jan Pinkava,Kathy Greenberg,Ratat,2007,Pixar
Jan Pinkava,Bob Peterson,Ratat,2007,Pixar
Jan Pinkava,John Lasseter,Ratat,2007,Pixar
Jan Pinkava,Bradford Lewis,Ratat,2007,Pixar
Jan Pinkava,Andrew Stanton,Ratat,2007,Pixar
Jan Pinkava,Galyn Susman,Ratat,2007,Pixar
Jim Capobianco,Emily Cook,Ratat,2007,Pixar
Jim Capobianco,Kathy Greenberg,Ratat,2007,Pixar
Jim Capobianco,Bob Peterson,Ratat,2007,Pixar
Jim Capobianco,John Lasseter,Ratat,2007,Pixar
Jim Capobianco,Bradford Lewis,Ratat,2007,Pixar
Jim Capobianco,Andrew Stanton,Ratat,2007,Pixar
Jim Capobianco,Galyn Susman,Ratat,2007,Pixar
Emily Cook,Kathy Greenberg,Ratat,2007,Pixar
Emily Cook,Bob Peterson,Ratat,2007,Pixar
Emily Cook,John Lasseter,Ratat,2007,Pixar
Emily Cook,Bradford Lewis,Ratat,2007,Pixar
Emily Cook,Andrew Stanton,Ratat,2007,Pixar
Emily Cook,Galyn Susman,Ratat,2007,Pixar
Kathy Greenberg,Bob Peterson,Ratat,2007,Pixar
Kathy Greenberg,John Lasseter,Ratat,2007,Pixar
Kathy Greenberg,Bradford Lewis,Ratat,2007,Pixar
Kathy Greenberg,Andrew Stanton,Ratat,2007,Pixar
Kathy Greenberg,Galyn Susman,Ratat,2007,Pixar
Bob Peterson,John Lasseter,Ratat,2007,Pixar
Bob Peterson,Bradford Lewis,Ratat,2007,Pixar
Bob Peterson,Andrew Stanton,Ratat,2007,Pixar
Bob Peterson,Galyn Susman,Ratat,2007,Pixar
John Lasseter,Bradford Lewis,Ratat,2007,Pixar
John Lasseter,Andrew Stanton,Ratat,2007,Pixar
John Lasseter,Galyn Susman,Ratat,2007,Pixar
Bradford Lewis,Andrew Stanton,Ratat,2007,Pixar
Bradford Lewis,Galyn Susman,Ratat,2007,Pixar
Andrew Stanton,Galyn Susman,Ratat,2007,Pixar
Pete Docter,Bob Peterson,Up,2009,Pixar
Pete Docter,Tom McCarthy,Up,2009,Pixar
Pete Docter,John Lasseter,Up,2009,Pixar
Pete Docter,Kori Rae,Up,2009,Pixar
Pete Docter,Denise Ream,Up,2009,Pixar
Pete Docter,Jonas Rivera,Up,2009,Pixar
Pete Docter,Andrew Stanton,Up,2009,Pixar
Bob Peterson,Tom McCarthy,Up,2009,Pixar
Bob Peterson,John Lasseter,Up,2009,Pixar
Bob Peterson,Kori Rae,Up,2009,Pixar
Bob Peterson,Denise Ream,Up,2009,Pixar
Bob Peterson,Jonas Rivera,Up,2009,Pixar
Bob Peterson,Andrew Stanton,Up,2009,Pixar
Tom McCarthy,John Lasseter,Up,2009,Pixar
Tom McCarthy,Kori Rae,Up,2009,Pixar
Tom McCarthy,Denise Ream,Up,2009,Pixar
Tom McCarthy,Jonas Rivera,Up,2009,Pixar
Tom McCarthy,Andrew Stanton,Up,2009,Pixar
John Lasseter,Kori Rae,Up,2009,Pixar
John Lasseter,Denise Ream,Up,2009,Pixar
John Lasseter,Jonas Rivera,Up,2009,Pixar
John Lasseter,Andrew Stanton,Up,2009,Pixar
Kori Rae,Denise Ream,Up,2009,Pixar
Kori Rae,Jonas Rivera,Up,2009,Pixar
Kori Rae,Andrew Stanton,Up,2009,Pixar
Denise Ream,Jonas Rivera,Up,2009,Pixar
Denise Ream,Andrew Stanton,Up,2009,Pixar
Jonas Rivera,Andrew Stanton,Up,2009,Pixar
Andrew Stanton,Pete Docter,WallE,2008,Pixar
Andrew Stanton,Jim Reardon,WallE,2008,Pixar
Andrew Stanton,Lindsey Collins,WallE,2008,Pixar
Andrew Stanton,John Lasseter,WallE,2008,Pixar
Andrew Stanton,Gillian Libbert,WallE,2008,Pixar
Andrew Stanton,Chris Montan,WallE,2008,Pixar
Andrew Stanton,Jim Morris,WallE,2008,Pixar
Andrew Stanton,Thomas Porter,WallE,2008,Pixar
Pete Docter,Jim Reardon,WallE,2008,Pixar
Pete Docter,Lindsey Collins,WallE,2008,Pixar
Pete Docter,John Lasseter,WallE,2008,Pixar
Pete Docter,Gillian Libbert,WallE,2008,Pixar
Pete Docter,Chris Montan,WallE,2008,Pixar
Pete Docter,Jim Morris,WallE,2008,Pixar
Pete Docter,Thomas Porter,WallE,2008,Pixar
Jim Reardon,Lindsey Collins,WallE,2008,Pixar
Jim Reardon,John Lasseter,WallE,2008,Pixar
Jim Reardon,Gillian Libbert,WallE,2008,Pixar
Jim Reardon,Chris Montan,WallE,2008,Pixar
Jim Reardon,Jim Morris,WallE,2008,Pixar
Jim Reardon,Thomas Porter,WallE,2008,Pixar
Lindsey Collins,John Lasseter,WallE,2008,Pixar
Lindsey Collins,Gillian Libbert,WallE,2008,Pixar
Lindsey Collins,Chris Montan,WallE,2008,Pixar
Lindsey Collins,Jim Morris,WallE,2008,Pixar
Lindsey Collins,Thomas Porter,WallE,2008,Pixar
John Lasseter,Gillian Libbert,WallE,2008,Pixar
John Lasseter,Chris Montan,WallE,2008,Pixar
John Lasseter,Jim Morris,WallE,2008,Pixar
John Lasseter,Thomas Porter,WallE,2008,Pixar
Gillian Libbert,Chris Montan,WallE,2008,Pixar
Gillian Libbert,Jim Morris,WallE,2008,Pixar
Gillian Libbert,Thomas Porter,WallE,2008,Pixar
Chris Montan,Jim Morris,WallE,2008,Pixar
Chris Montan,Thomas Porter,WallE,2008,Pixar
Jim Morris,Thomas Porter,WallE,2008,Pixar
Lee Unkrich,John Lasseter,ToyStory3,2010,Pixar
Lee Unkrich,Andrew Stanton,ToyStory3,2010,Pixar
Lee Unkrich,Michael Arndt,ToyStory3,2010,Pixar
Lee Unkrich,Darla K. Anderson,ToyStory3,2010,Pixar
Lee Unkrich,Nicole Paradis Grindle,ToyStory3,2010,Pixar
John Lasseter,Andrew Stanton,ToyStory3,2010,Pixar
